DATE,YEAR,QUARTER,MONTH
2008-06-03,2008,2,6
2008-06-14,2008,2,6
2008-06-16,2008,2,6
2008-06-21,2008,2,6
2008-07-13,2008,3,7
2008-07-16,2008,3,7
2008-07-18,2008,3,7
2008-07-22,2008,3,7
2008-07-23,2008,3,7
2008-08-01,2008,3,8
2008-08-04,2008,3,8
2008-08-05,2008,3,8
2008-08-09,2008,3,8
2008-08-13,2008,3,8
2008-08-18,2008,3,8
2008-09-04,2008,3,9
2008-10-03,2008,4,10
2008-10-06,2008,4,10
2008-10-08,2008,4,10
2008-10-19,2008,4,10
2008-11-01,2008,4,11
2008-11-18,2008,4,11
2008-12-03,2008,4,12
2008-12-19,2008,4,12
2008-12-27,2008,4,12
2009-01-10,2009,1,1
2009-01-12,2009,1,1
2009-02-03,2009,1,2
2009-02-10,2009,1,2
2009-02-11,2009,1,2
2009-02-15,2009,1,2
2009-02-21,2009,1,2
2009-03-19,2009,1,3
2009-03-27,2009,1,3
2009-03-28,2009,1,3
2009-04-19,2009,2,4
2009-04-27,2009,2,4
2009-05-05,2009,2,5
2009-05-15,2009,2,5
2009-05-19,2009,2,5
2009-05-25,2009,2,5
2009-06-04,2009,2,6
2009-06-23,2009,2,6
2009-07-01,2009,3,7
2009-07-03,2009,3,7
2009-07-06,2009,3,7
2009-07-26,2009,3,7
2009-07-27,2009,3,7
2009-08-19,2009,3,8
2009-09-11,2009,3,9
2009-09-14,2009,3,9
2009-09-24,2009,3,9
2009-10-04,2009,4,10
2009-11-06,2009,4,11
2009-11-09,2009,4,11
2009-12-02,2009,4,12
2009-12-28,2009,4,12
2010-01-01,2010,1,1
2010-01-07,2010,1,1
2010-01-12,2010,1,1
2010-01-21,2010,1,1
2010-02-04,2010,1,2
2010-02-21,2010,1,2
2010-02-26,2010,1,2
2010-03-02,2010,1,3
2010-03-09,2010,1,3
2010-03-15,2010,1,3
2010-03-27,2010,1,3
2010-04-09,2010,2,4
2010-04-22,2010,2,4
2010-04-25,2010,2,4
2010-05-04,2010,2,5
2010-05-07,2010,2,5
2010-05-10,2010,2,5
2010-05-18,2010,2,5
2010-05-19,2010,2,5
2010-05-25,2010,2,5
2010-06-02,2010,2,6
2010-06-22,2010,2,6
2010-06-24,2010,2,6
2010-07-09,2010,3,7
2010-07-23,2010,3,7
2010-08-02,2010,3,8
2010-08-14,2010,3,8
2010-08-26,2010,3,8
2010-09-02,2010,3,9
2010-09-08,2010,3,9
2010-09-18,2010,3,9
2010-09-23,2010,3,9
2010-10-03,2010,4,10
2010-10-11,2010,4,10
2010-10-13,2010,4,10
2010-10-19,2010,4,10
2010-10-22,2010,4,10
2010-11-15,2010,4,11
